DISSOLVED OXYGEN (mg/L),PERCENTAGE DISSOLVED OXYGEN (%),PH (???),TEMPERATURE (°C),TURBIDITY (NTU),date,quality
5.54,60.28,7.55,14.978,15.88,2023-09-02 08:01:24,75.0
5.78,64.15,7.64,14.771,13.18,2023-09-02 07:01:24,79.55
5.85,65.87,7.7,14.621,15.67,2023-09-02 06:01:24,75.0
5.87,67.39,7.76,14.452,10.3,2023-09-02 05:01:24,86.75
6.25,71.43,7.78,14.464,14.5,2023-09-02 04:01:24,76.25
6.06,68.24,7.69,14.654,33.82,2023-09-02 03:01:24,75.0
5.94,65.02,7.56,14.926,42.66,2023-09-02 02:01:24,75.0
6.04,64.56,7.5,15.135,32.56,2023-09-02 01:01:24,75.0
6.11,64.34,7.5,15.29,25.48,2023-09-02 00:01:24,75.0
6.17,64.41,7.51,15.35,25.37,2023-09-01 23:01:24,75.0
6.1,64.33,7.51,15.287,36.49,2023-09-01 22:01:24,75.0
6.02,64.08,7.53,15.193,36.21,2023-09-01 21:01:24,75.0
5.96,64.68,7.57,15.036,16.71,2023-09-01 20:01:24,75.0
5.92,65.28,7.61,14.952,12.18,2023-09-01 19:01:24,82.05
6.13,68.95,7.72,14.713,15.46,2023-09-01 18:01:24,75.0
6.17,70.48,7.77,14.486,9.54,2023-09-01 17:01:24,88.65
6.4,72.82,7.77,14.521,21.86,2023-09-01 16:01:24,75.0
6.26,69.95,7.68,14.757,37.4,2023-09-01 15:01:24,75.0
6.16,67.16,7.56,14.946,48.87,2023-09-01 14:01:24,75.0
6.5,69.33,7.53,15.091,48.81,2023-09-01 13:01:24,75.0
6.76,70.65,7.52,15.185,34.13,2023-09-01 12:01:24,75.0
6.93,71.69,7.55,15.219,33.13,2023-09-01 11:01:24,75.0
6.69,69.8,7.54,15.123,51.35,2023-09-01 10:01:24,75.0
6.54,69.14,7.55,14.994,34.03,2023-09-01 09:01:24,75.0
6.3,67.55,7.58,14.872,42.83,2023-09-01 08:01:24,75.0
6.21,67.68,7.62,14.737,13.92,2023-09-01 07:01:24,77.7
6.25,69.59,7.71,14.529,9.95,2023-09-01 06:01:24,87.625
6.28,71.19,7.79,14.339,9.33,2023-09-01 05:01:24,89.175
6.08,69.48,7.78,14.258,8.51,2023-09-01 04:01:24,91.225
6.52,74.06,7.79,14.329,23.93,2023-09-01 03:01:24,75.0
6.47,72.18,7.7,14.57,28.48,2023-09-01 02:01:24,75.0
6.52,70.89,7.6,14.791,31.39,2023-09-01 01:01:24,75.0
6.75,71.76,7.54,15.005,25.55,2023-09-01 00:01:24,75.0
6.8,71.52,7.53,15.125,21.72,2023-08-31 23:01:24,75.0
6.79,71.29,7.54,15.144,19.92,2023-08-31 22:01:24,75.0
6.76,71.63,7.56,15.102,38.89,2023-08-31 21:01:24,75.0
6.64,71.28,7.59,15.0,35.48,2023-08-31 20:01:24,75.0
6.54,71.35,7.64,14.861,13.24,2023-08-31 19:01:24,79.4
6.46,71.98,7.72,14.739,10.43,2023-08-31 18:01:24,86.425
6.56,74.4,7.8,14.533,8.68,2023-08-31 17:01:24,90.8
6.35,72.45,7.81,14.336,13.8,2023-08-31 16:01:24,78.0
6.7,76.05,7.81,14.437,17.42,2023-08-31 15:01:24,75.0
6.65,74.38,7.74,14.579,30.59,2023-08-31 14:01:24,75.0
6.76,73.55,7.62,14.722,39.31,2023-08-31 13:01:24,75.0
7.09,75.72,7.59,14.856,28.21,2023-08-31 12:01:24,75.0
7.3,76.22,7.56,14.759,23.36,2023-08-31 11:01:24,75.0
7.4,76.76,7.57,14.807,20.68,2023-08-31 10:01:24,75.0
7.25,75.97,7.59,14.707,23.02,2023-08-31 09:01:24,75.0
7.11,75.06,7.62,14.589,27.85,2023-08-31 08:01:24,75.0
6.86,73.85,7.66,14.469,20.71,2023-08-31 07:01:24,75.0
6.77,73.96,7.72,14.354,12.03,2023-08-31 06:01:24,82.425
6.68,74.54,7.79,14.203,8.07,2023-08-31 05:01:24,92.325
6.73,76.16,7.84,14.113,6.71,2023-08-31 04:01:24,95.725
6.62,75.45,7.85,14.082,6.14,2023-08-31 03:01:24,97.15
6.86,77.43,7.83,14.186,16.25,2023-08-31 02:01:24,75.0
6.91,76.72,7.77,14.36,24.55,2023-08-31 01:01:24,75.0
7.11,77.06,7.68,14.606,21.26,2023-08-31 00:01:24,75.0
7.43,78.74,7.61,14.816,11.6,2023-08-30 23:01:24,83.5
7.03,73.92,7.58,14.869,10.24,2023-08-30 22:01:24,86.9
7.2,75.82,7.58,14.874,10.58,2023-08-30 21:01:24,86.05
7.35,77.94,7.63,14.89,11.07,2023-08-30 20:01:24,84.825
7.19,77.48,7.69,14.746,15.79,2023-08-30 19:01:24,75.0
7.02,76.82,7.74,14.637,10.22,2023-08-30 18:01:24,86.95
6.83,76.53,7.82,14.409,7.93,2023-08-30 17:01:24,92.675
6.9,78.41,7.87,14.269,7.16,2023-08-30 16:01:24,94.6
6.81,77.83,7.87,14.125,5.96,2023-08-30 15:01:24,97.6
6.97,78.91,7.85,14.255,11.57,2023-08-30 14:01:24,83.575
7.05,78.57,7.8,14.395,15.75,2023-08-30 13:01:24,75.0
7.29,79.18,7.72,14.603,15.97,2023-08-30 12:01:24,75.0
7.58,80.24,7.65,14.624,11.14,2023-08-30 11:01:24,84.65
7.6,79.64,7.62,14.641,13.72,2023-08-30 10:01:24,78.2
7.61,79.28,7.61,14.626,11.04,2023-08-30 09:01:24,84.9
7.71,80.7,7.65,14.552,17.83,2023-08-30 08:01:24,75.0
7.56,79.81,7.69,14.477,13.78,2023-08-30 07:01:24,78.05
7.28,78.23,7.74,14.435,11.34,2023-08-30 06:01:24,84.15
7.07,77.57,7.8,14.341,7.79,2023-08-30 05:01:24,93.025
6.86,76.76,7.84,14.262,5.66,2023-08-30 04:01:24,98.35
6.75,76.57,7.87,14.2,6.28,2023-08-30 03:01:24,96.8
6.57,75.12,7.86,14.156,5.88,2023-08-30 02:01:24,97.8
6.91,77.99,7.84,14.299,10.25,2023-08-30 01:01:24,86.875
7.2,79.45,7.79,14.53,10.44,2023-08-30 00:01:24,86.4
7.56,81.2,7.7,14.821,13.93,2023-08-29 23:01:24,77.675
7.29,78.24,7.68,14.764,9.22,2023-08-29 22:01:24,89.45
8.06,84.09,7.64,15.015,9.14,2023-08-29 21:01:24,89.65
7.9,82.79,7.64,15.065,12.54,2023-08-29 20:01:24,81.15
7.6,80.92,7.69,15.046,12.61,2023-08-29 19:01:24,80.975
7.48,80.61,7.73,15.021,10.8,2023-08-29 18:01:24,85.5
7.16,78.61,7.78,14.944,6.43,2023-08-29 17:01:24,96.425
6.9,77.29,7.83,14.584,6.26,2023-08-29 16:01:24,96.85
6.37,72.42,7.85,14.12,5.55,2023-08-29 15:01:24,98.625
6.3,71.99,7.84,14.06,1.85,2023-08-29 14:01:24,100.0
6.78,76.33,7.84,14.243,6.31,2023-08-29 13:01:24,96.725
7.17,78.85,7.79,14.448,7.83,2023-08-29 12:01:24,92.925
7.32,79.27,7.75,14.454,8.54,2023-08-29 11:01:24,91.15
7.23,77.71,7.68,14.534,9.14,2023-08-29 10:01:24,89.65
7.56,78.88,7.64,14.68,12.86,2023-08-29 09:01:24,80.35
8.39,86.01,7.65,14.71,10.75,2023-08-29 08:01:24,85.625
8.35,85.65,7.67,14.638,10.5,2023-08-29 07:01:24,86.25
8.08,84.05,7.71,14.584,11.22,2023-08-29 06:01:24,84.45
7.58,80.78,7.77,14.509,8.46,2023-08-29 05:01:24,91.35
7.16,77.8,7.8,14.459,7.12,2023-08-29 04:01:24,94.7
6.72,75.23,7.85,14.296,4.84,2023-08-29 03:01:24,100.0
6.28,72.17,7.86,14.061,4.89,2023-08-29 02:01:24,100.0
6.12,70.18,7.85,14.048,3.96,2023-08-29 01:01:24,100.0
6.51,73.99,7.85,14.202,3.84,2023-08-29 00:01:24,100.0
6.77,75.83,7.82,14.366,9.72,2023-08-28 23:01:24,88.2
6.69,74.3,7.76,14.449,10.44,2023-08-28 22:01:24,86.4
7.69,81.07,7.66,14.794,17.28,2023-08-28 21:01:24,75.0
7.89,82.63,7.66,14.822,12.81,2023-08-28 20:01:24,80.475
8.19,84.89,7.66,14.881,10.41,2023-08-28 19:01:24,86.475
8.2,85.43,7.7,14.966,11.24,2023-08-28 18:01:24,84.4
7.86,83.31,7.75,15.044,9.1,2023-08-28 17:01:24,89.75
7.55,81.44,7.78,14.973,8.14,2023-08-28 16:01:24,92.15
6.72,75.4,7.85,14.522,5.37,2023-08-28 15:01:24,99.075
6.25,71.8,7.87,14.043,4.95,2023-08-28 14:01:24,100.0
5.98,69.71,7.86,13.92,4.56,2023-08-28 13:01:24,100.0
6.19,71.29,7.86,14.008,3.47,2023-08-28 12:01:24,100.0
6.42,72.94,7.84,14.202,3.62,2023-08-28 11:01:24,100.0
6.28,71.27,7.81,14.291,6.16,2023-08-28 10:01:24,97.1
6.36,70.82,7.73,14.552,5.76,2023-08-28 09:01:24,98.1
8.22,84.76,7.7,14.817,12.53,2023-08-28 08:01:24,81.175
7.98,82.99,7.7,14.854,10.53,2023-08-28 07:01:24,86.175
7.84,81.87,7.71,14.907,10.19,2023-08-28 06:01:24,87.025
7.6,80.02,7.71,15.024,8.7,2023-08-28 05:01:24,90.75
7.21,78.16,7.78,14.968,8.8,2023-08-28 04:01:24,90.5
6.58,73.94,7.83,14.66,5.46,2023-08-28 03:01:24,98.85
6.36,72.57,7.87,14.263,5.43,2023-08-28 02:01:24,98.925
6.15,71.14,7.88,13.983,3.72,2023-08-28 01:01:24,100.0
6.07,70.32,7.87,13.91,1.81,2023-08-28 00:01:24,100.0
6.21,71.91,7.87,14.03,3.24,2023-08-27 23:01:24,100.0
6.28,72.33,7.86,14.21,8.16,2023-08-27 22:01:24,92.1
6.12,69.98,7.81,14.336,5.25,2023-08-27 21:01:24,99.375
5.75,65.26,7.72,14.701,3.5,2023-08-27 20:01:24,100.0
6.73,73.81,7.73,15.276,7.48,2023-08-27 19:01:24,93.8
6.77,74.68,7.74,15.326,9.06,2023-08-27 18:01:24,89.85
7.18,78.19,7.73,15.562,6.73,2023-08-27 17:01:24,95.675
7.15,78.05,7.77,15.409,5.85,2023-08-27 16:01:24,97.875
6.53,73.66,7.83,14.771,5.51,2023-08-27 15:01:24,98.725
6.29,72.07,7.86,14.429,4.14,2023-08-27 14:01:24,100.0
6.11,71.12,7.89,13.947,4.99,2023-08-27 13:01:24,100.0
5.86,68.26,7.87,13.869,4.52,2023-08-27 12:01:24,100.0
6.31,73.4,7.9,13.932,4.72,2023-08-27 11:01:24,100.0
6.3,72.92,7.88,14.093,6.95,2023-08-27 10:01:24,95.125
6.19,71.54,7.86,14.163,7.42,2023-08-27 09:01:24,93.95
5.93,68.44,7.83,14.34,5.91,2023-08-27 08:01:24,97.725
5.67,65.0,7.75,14.671,4.49,2023-08-27 07:01:24,100.0
6.14,69.17,7.75,14.917,6.14,2023-08-27 06:01:24,97.15
6.37,71.48,7.76,15.068,6.88,2023-08-27 05:01:24,95.3
6.97,76.8,7.76,15.5,5.25,2023-08-27 04:01:24,99.375
6.47,73.27,7.82,14.849,3.13,2023-08-27 03:01:24,100.0
6.35,72.89,7.86,14.426,4.91,2023-08-27 02:01:24,100.0
6.35,73.18,7.88,14.24,4.47,2023-08-27 01:01:24,100.0
6.19,71.91,7.88,13.996,4.06,2023-08-27 00:01:24,100.0
6.26,72.75,7.89,13.922,4.38,2023-08-26 23:01:24,100.0
6.28,72.85,7.89,13.965,3.08,2023-08-26 22:01:24,100.0
6.33,73.18,7.88,14.1,3.88,2023-08-26 21:01:24,100.0
6.18,71.49,7.86,14.196,5.06,2023-08-26 20:01:24,99.85
5.61,64.62,7.8,14.347,4.69,2023-08-26 19:01:24,100.0
5.81,66.45,7.75,14.857,3.82,2023-08-26 18:01:24,100.0
6.1,69.6,7.77,14.86,6.78,2023-08-26 17:01:24,95.55
6.4,72.21,7.75,15.3,5.81,2023-08-26 16:01:24,97.975
6.64,74.34,7.76,15.513,6.16,2023-08-26 15:01:24,97.1
6.49,73.19,7.82,15.029,4.88,2023-08-26 14:01:24,100.0
6.45,73.52,7.86,14.587,4.46,2023-08-26 13:01:24,100.0
6.26,72.63,7.88,14.143,3.79,2023-08-26 12:01:24,100.0
6.04,70.13,7.87,13.91,2.82,2023-08-26 11:01:24,100.0
6.2,71.97,7.88,13.901,3.51,2023-08-26 10:01:24,100.0
6.35,73.69,7.89,13.975,4.28,2023-08-26 09:01:24,100.0
6.32,73.2,7.88,14.094,3.91,2023-08-26 08:01:24,100.0
6.32,73.03,7.87,14.211,5.69,2023-08-26 07:01:24,98.275
5.77,66.38,7.8,14.378,2.43,2023-08-26 06:01:24,100.0
5.91,67.36,7.74,14.938,3.11,2023-08-26 05:01:24,100.0
6.05,69.21,7.78,14.872,5.15,2023-08-26 04:01:24,99.625
6.37,71.77,7.77,15.18,3.75,2023-08-26 03:01:24,100.0
6.44,73.01,7.81,14.959,4.08,2023-08-26 02:01:24,100.0
6.56,74.45,7.84,14.912,7.01,2023-08-26 01:01:24,94.975
6.55,74.57,7.86,14.704,2.8,2023-08-26 00:01:24,100.0
6.52,75.19,7.89,14.304,4.25,2023-08-25 23:01:24,100.0
5.81,67.32,7.85,13.953,5.7,2023-08-25 22:01:24,98.25
6.45,74.8,7.89,13.988,3.23,2023-08-25 21:01:24,100.0
6.43,74.4,7.89,14.092,5.21,2023-08-25 20:01:24,99.475
6.46,74.5,7.88,14.227,5.8,2023-08-25 19:01:24,98.0
6.46,73.93,7.86,14.495,7.4,2023-08-25 18:01:24,94.0
6.04,69.15,7.77,14.811,7.01,2023-08-25 17:01:24,94.975
6.1,68.95,7.74,15.21,4.44,2023-08-25 16:01:24,100.0
6.4,72.39,7.76,15.18,5.04,2023-08-25 15:01:24,99.9
6.71,75.21,7.77,15.488,6.5,2023-08-25 14:01:24,96.25
6.86,76.67,7.8,15.455,5.18,2023-08-25 13:01:24,99.55
6.82,76.71,7.85,15.13,4.73,2023-08-25 12:01:24,100.0
6.62,75.95,7.88,14.592,4.49,2023-08-25 11:01:24,100.0
6.43,74.49,7.89,14.039,3.93,2023-08-25 10:01:24,100.0
6.36,74.24,7.9,13.931,4.1,2023-08-25 09:01:24,100.0
6.49,75.26,7.9,13.991,6.0,2023-08-25 08:01:24,97.5
6.6,76.05,7.9,14.176,5.38,2023-08-25 07:01:24,99.05
6.58,75.5,7.88,14.364,10.27,2023-08-25 06:01:24,86.825
6.47,74.36,7.85,14.565,4.64,2023-08-25 05:01:24,100.0
6.24,70.86,7.77,15.181,7.02,2023-08-25 04:01:24,94.95
6.5,73.54,7.78,15.28,5.54,2023-08-25 03:01:24,98.65
6.44,72.74,7.76,15.459,5.56,2023-08-25 02:01:24,98.6
6.86,76.92,7.8,15.497,4.52,2023-08-25 01:01:24,100.0
7.2,79.93,7.8,15.929,4.97,2023-08-25 00:01:24,100.0
7.01,78.84,7.84,15.426,5.29,2023-08-24 23:01:24,99.275
6.69,76.92,7.89,14.577,4.38,2023-08-24 22:01:24,100.0
6.22,72.15,7.87,14.007,6.94,2023-08-24 21:01:24,95.15
6.49,75.25,7.89,14.038,5.62,2023-08-24 20:01:24,98.45
6.53,75.75,7.88,14.216,6.94,2023-08-24 19:01:24,95.15
6.66,76.4,7.86,14.603,7.04,2023-08-24 18:01:24,94.9
6.75,76.62,7.82,15.094,9.3,2023-08-24 17:01:24,89.25
6.37,71.84,7.72,15.554,3.42,2023-08-24 16:01:24,100.0
6.69,74.47,7.68,16.059,6.6,2023-08-24 15:01:24,96.0
7.13,78.58,7.68,16.347,6.17,2023-08-24 14:01:24,97.075
7.33,80.68,7.7,16.546,6.07,2023-08-24 13:01:24,97.325
7.1,78.94,7.76,15.96,6.22,2023-08-24 12:01:24,96.95
6.9,77.09,7.79,15.714,5.86,2023-08-24 11:01:24,97.85
6.8,76.94,7.84,15.208,6.82,2023-08-24 10:01:24,95.45
6.48,74.81,7.89,14.278,7.19,2023-08-24 09:01:24,94.525
6.37,73.66,7.88,14.074,4.72,2023-08-24 08:01:24,100.0
6.52,75.79,7.89,14.146,6.54,2023-08-24 07:01:24,96.15
6.58,75.84,7.87,14.495,7.04,2023-08-24 06:01:24,94.9
6.71,76.79,7.85,14.876,5.9,2023-08-24 05:01:24,97.75
6.6,75.03,7.8,15.16,3.93,2023-08-24 04:01:24,100.0
6.48,72.92,7.71,15.628,8.04,2023-08-24 03:01:24,92.4
6.18,69.47,7.66,15.767,4.54,2023-08-24 02:01:24,100.0
6.75,75.09,7.67,16.313,6.03,2023-08-24 01:01:24,97.425
7.24,80.17,7.71,16.535,6.49,2023-08-24 00:01:24,96.275
7.07,79.13,7.78,15.972,6.39,2023-08-23 23:01:24,96.525
6.81,77.19,7.82,15.473,6.26,2023-08-23 22:01:24,96.85
6.65,76.35,7.87,14.724,5.8,2023-08-23 21:01:24,98.0
6.57,75.46,7.88,14.265,5.76,2023-08-23 20:01:24,98.1
6.51,75.35,7.87,14.291,6.92,2023-08-23 19:01:24,95.2
6.68,76.27,7.84,14.835,9.08,2023-08-23 18:01:24,89.8
6.84,77.66,7.82,15.161,7.15,2023-08-23 17:01:24,94.625
6.84,76.88,7.77,15.596,11.26,2023-08-23 16:01:24,84.35
6.64,73.94,7.65,15.985,4.17,2023-08-23 15:01:24,100.0
6.97,76.52,7.61,16.549,6.89,2023-08-23 14:01:24,95.275
7.36,80.19,7.63,16.877,6.94,2023-08-23 13:01:24,95.15
7.41,81.22,7.68,16.512,7.57,2023-08-23 12:01:24,93.575
7.24,80.1,7.74,16.191,7.54,2023-08-23 11:01:24,93.65
6.93,77.61,7.81,15.523,8.91,2023-08-23 10:01:24,90.225
6.65,75.75,7.85,14.882,4.3,2023-08-23 09:01:24,100.0
6.29,72.79,7.87,14.301,6.63,2023-08-23 08:01:24,95.925
6.36,73.62,7.87,14.224,5.71,2023-08-23 07:01:24,98.225
6.53,75.36,7.86,14.447,2.69,2023-08-23 06:01:24,100.0
6.76,77.08,7.84,14.88,9.54,2023-08-23 05:01:24,88.65
6.85,77.31,7.8,15.358,12.71,2023-08-23 04:01:24,80.725
6.7,75.09,7.75,15.618,8.09,2023-08-23 03:01:24,92.275
7.21,79.13,7.66,16.358,9.08,2023-08-23 02:01:24,89.8
7.12,77.88,7.64,16.647,6.2,2023-08-23 01:01:24,97.0
7.56,82.09,7.65,16.889,8.3,2023-08-23 00:01:28,91.75
7.33,80.78,7.72,16.457,6.78,2023-08-22 23:01:24,95.55
7.05,78.61,7.78,15.965,9.16,2023-08-22 22:01:24,89.6
6.8,76.7,7.81,15.459,8.63,2023-08-22 21:01:24,90.925
